COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,762100456,761105217,,35731,35740,762100456,BOTOŞANI,,,4,GRADINITA CU PROGRAM PRELUNGIT NR. 14 BOTOSANI,GRADINITA CU PROGRAM PRELUNGIT NR 14 BOTOSANI,BOTOŞANI,UNIRII,,
,762102639,761104297,,39417,39499,762102639,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR. 4 PLOPENII MARI,GRADINITA CU PROGRAM NORMAL NR 4 PLOPENII MARI,PLOPENII MARI,,,
,762102969,761104614,,39658,39667,762102969,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 1 VIISOARA,GRADINITA CU PROGRAM NORMAL NR 1 VIISOARA,VIIŞOARA,,,
,762101923,761104804,38862202,36907,36925,762101923,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR. 2 ONEAGA,GRADINITA CU PROGRAM NORMAL NR 2 ONEAGA,ONEAGA,ONEAGA,,
,762103215,761104365,,39266,39284,762103215,BOTOŞANI,,,,SCOALA GIMNAZIALA NR. 2 CERNESTI TODIRENI,SCOALA GIMNAZIALA NR 2 CERNESTI TODIRENI,CERNEŞTI,,,
12169918,761204535,,3051646,35731,35740,761204535,BOTOŞANI,,,19,"""LICEUL TEORETIC CENTRUL DE STUDII ",,"STEFAN CEL MARE SI SFANT''- BOTOSANI""",LICEUL TEORETIC CENTRUL DE STUDII STEFAN CEL MARE SI SFANT BOTOSANI,BOTOŞANI,NICOLAE IORGA
,762102033,761104573,,37823,37832,762102033,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 1 IBANESTI,GRADINITA CU PROGRAM NORMAL NR 1 IBANESTI,IBĂNEŞTI,IBANESTI,,
,762102354,761105298,,37958,37985,762102354,BOTOŞANI,,,,SCOALA PRIMARA NR. 3 FLONDORA,SCOALA PRIMARA NR 3 FLONDORA,FLONDORA,FLONDORA,,
,762102707,761104971,1,37100,37119,762102707,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 1 DOBIRCENI,GRADINITA CU PROGRAM NORMAL NR 1 DOBIRCENI,DOBÂRCENI,DOARCENI,,
,762101118,761104329,,37217,37226,762101118,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 1 DURNESTI,GRADINITA CU PROGRAM NORMAL NR 1 DURNESTI,DURNEŞTI,DURNESTI,,
,762104193,761104858,,36202,36211,762104193,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 1 AVRAMENI,GRADINITA CU PROGRAM NORMAL NR 1 AVRAMENI,AVRĂMENI,AVRAMENI,,
,762103174,761104953,,38811,38820,762103174,BOTOŞANI,,,,SCOALA PRIMARA NR. 2 ROMA,SCOALA PRIMARA NR 2 ROMA,ROMA,,,
,762100248,761105099,,36060,36079,762100248,BOTOŞANI,,,72,GRADINITA CU PROGRAM NORMAL NR 3 SAVENI,GRADINITA CU PROGRAM NORMAL NR 3 SAVENI,SĂVENI,STEFAN CEL MARE,,
,762101389,761105113,22222,38492,38526,762101389,BOTOŞANI,,,,SCOALA PRIMARA ’’SFANTUL IOAN IACOB HOZEVITUL’’ HORODISTEA,SCOALA PRIMARA SFANTUL IOAN IACOB HOZEVITUL HORODISTEA,HORODIŞTEA,,,
,762100881,761105384,,37397,37404,762100881,BOTOŞANI,,,,SCOALA GIMNAZIALA NR 2 DUMENI,SCOALA GIMNAZIALA NR 2 DUMENI,DUMENI,DUMENI,,
,762100474,761105036,,36809,36845,762100474,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR. 1 CRASNALEUCA,GRADINITA CU PROGRAM NORMAL NR 1 CRASNALEUCA,CRASNALEUCA,CRASNALEUCA,,
,762100388,761104772,,38063,38152,762100388,BOTOŞANI,,,,SCOALA PRIMARA NR. 2 STANCESTI,SCOALA PRIMARA NR 2 STANCESTI,STÂNCEŞTI,STANCESTI,,
,762102657,761104297,739126531,39417,39453,762102657,BOTOŞANI,,,,SCOALA PRIMARA NR. 9 CALUGARENII NOI,SCOALA PRIMARA NR 9 CALUGARENII NOI,CĂLUGĂRENII NOI,,,
21799092,761105194,,1253379,37280,38410,761105194,BOTOŞANI,,,167,"""LICEUL TEHNOLOGIC """"NICOLAE BALCESCU"""" FLAMINZI""",LICEUL TEHNOLOGIC NICOLAE BALCESCU FLAMINZI,NICOLAE BĂLCESCU,DUMITRU IOV,,
,762101308,761104677,,36756,36765,762101308,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR.1 CORNI,GRADINITA CU PROGRAM NORMAL NR 1 CORNI,CORNI,CORNI,,
