COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,2762100632,2761102385,615661,125178,121439,2762100632,NEAMŢ,,,65,"""ȘCOALA PRIMARĂ NISTRIA"," COMUNA BOGHICEA""",SCOALA PRIMARA NISTRIA COMUNA BOGHICEA,NISTRIA,PRINCIPALĂ,
,2762100944,2761101936,,123601,123665,2762100944,NEAMŢ,,,315,"""ȘCOALA GIMNAZIALĂ STEJARU"," COMUNA PÂNGĂRAȚI""",SCOALA GIMNAZIALA STEJARU COMUNA PANGARATI,STEJARU,PRINCIPALĂ,
17232390,2761102765,,273241394,121055,121064,2761102765,NEAMŢ,,,3,"""LICEUL """"VASILE CONTA"""""," ORAȘ TÂRGU NEAMȚ""",LICEUL VASILE CONTA ORAS TARGU NEAMT,TÂRGU NEAMŢ,str. slt   RADU TEOHARIE,
,2762101547,2761100166,,120726,120735,2762101547,NEAMŢ,,,12,"""GRĂDINIȚA CU PROGRAM SAPTAMANAL """"VERONICA FILIP"""""," MUNICIPIUL PIATRA-NEAMT""",GRADINITA CU PROGRAM SAPTAMANAL VERONICA FILIP MUNICIPIUL PIATRA NEAMT,PIATRA-NEAMŢ,ALEXANDRU LAPUSNEANU,
17086864,2761102498,,613479,120771,120780,2761102498,NEAMŢ,,,71,"""ȘCOALA GIMNAZIALĂ NR. 1"," COMUNA DUMBRAVA ROȘIE""",SCOALA GIMNAZIALA NR 1 COMUNA DUMBRAVA ROSIE,DUMBRAVA ROŞIE,DUMBRAVEI,
,2762100496,2761102991,621775,124153,124199,2762100496,NEAMŢ,,,233,"""ȘCOALA PRIMARĂ VULPĂŞEŞTI"," COMUNA SAGNA""",SCOALA PRIMARA VULPASESTI COMUNA SAGNA,VULPĂŞEŞTI,PRINCIPALĂ,
19242021,2761102236,,618405,122668,122677,2761102236,NEAMŢ,,,64,"""ȘCOALA GIMNAZIALĂ"," COMUNA GHERĂEȘTI""",SCOALA GIMNAZIALA COMUNA GHERAESTI,GHERĂEŞTI,V. ALECSANDRI,
33181620,2761202917,,274182662,121055,121064,2761202917,NEAMŢ,,,20,"""ȘCOALA POSTLICEALĂ SANITARĂ """"LAUREATUS"""" TÂRGU NEAMȚ""",SCOALA POSTLICEALA SANITARA LAUREATUS TARGU NEAMT,TÂRGU NEAMŢ,MIHAIL SADOVEANU,,
,2762101502,2761102973,,120726,120735,2762101502,NEAMŢ,,,3,"""GRĂDINIȚA CU PROGRAM NORMAL NR. 11"," MUNICIPIUL PIATRA-NEAMŢ""",GRADINITA CU PROGRAM NORMAL NR 11 MUNICIPIUL PIATRA NEAMT,PIATRA-NEAMŢ,GHEORGHE ASACHI,
,2762101226,2761101624,,122061,122123,2762101226,NEAMŢ,,,16,"""ȘCOALA PRIMARĂ VĂDURELE"," COMUNA CÂNDEȘTI""",SCOALA PRIMARA VADURELE COMUNA CANDESTI,VĂDURELE,,
